"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Belturbet, Cavan/Monaghan Division",7,13,27,14,14,15
" ","Bennettsbridge, Kilkenny/Carlow Division",6,2,0,3,2,0
" ","Birr,  Laois/Offaly Division",44,61,46,30,34,43
" ","Bishopstown, Cork City Division",47,60,45,32,38,26
" ","Blacklion, Cavan/Monaghan Division",2,9,1,4,2,0
" ","Blackrock, Co Cork, Cork City Division",77,46,37,34,57,38
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",57,65,59,58,44,69
" ","Blackrock, Co Louth, Louth Division",14,8,19,7,15,19
" ","Blackwater, Wexford Division",6,3,3,5,4,4
" ","Blanchardstown, D.M.R. Western Division",210,223,265,336,207,188
" ","Blarney, Cork City Division",28,35,44,37,32,19
" ","Blessington, Wicklow Division",24,27,34,19,17,34
" ","Boherbue, Cork West Division",1,6,4,2,2,4
" ","Bonniconlon, Mayo Division",7,0,1,3,5,3
" ","Borris, Kilkenny/Carlow Division",6,8,3,9,4,1
" ","Borris-In-Ossory, Laois/Offaly Division",1,4,2,2,3,2
" ","Borrisokane, Tipperary Division",2,2,6,4,4,3
" ","Borrisoleigh, Tipperary Division",9,5,3,3,5,3
" ","Bothar Na Tra, Galway Division",109,74,58,66,45,59
" ","Boyle, Roscommon/Longford Division",28,10,23,18,20,14
" ","Bray, Wicklow Division",169,167,157,168,147,117
" ","Bridewell Cork, Cork City Division",125,100,89,108,134,120
" ","Bridewell Dublin, D.M.R. North Central Division",163,137,117,117,106,119
" ","Bruff, Limerick Division",8,10,10,14,7,6
" ","Bruree, Limerick Division",11,3,8,9,5,12
" ","Bunclody, Wexford Division",27,20,22,25,27,15
" ","Buncrana, Donegal Division",89,83,76,68,65,60
" ","Bundoran, Donegal Division",29,20,27,31,37,22
" ","Burnfoot, Donegal Division",19,14,13,13,10,8
" ","Buttevant, Cork North Division",11,17,7,12,4,5
" ","Cabinteely, D.M.R. Eastern Division",50,51,58,49,47,60
" ","Cabra, D.M.R. Western Division",62,83,189,90,64,55
" ","Caherciveen, Kerry Division",20,24,26,19,29,24
" ","Caherconlish, Limerick Division",16,6,16,9,5,7
" ","Cahir, Tipperary Division",44,38,22,35,23,24
" ","Callan, Kilkenny/Carlow Division",9,20,15,19,20,19
" ","Campile, Wexford Division",8,4,6,6,4,0
" ","Cappamore, Limerick Division",5,8,11,2,6,13
" ","Cappawhite, Tipperary Division",8,8,10,2,9,4
" ","Cappoquin, Waterford Division",6,10,5,9,8,4
" ","Carbury, Kildare Division",14,9,10,12,21,9
" ","Carlingford, Louth Division",19,16,17,13,14,8
" ","Carlow, Kilkenny/Carlow Division",208,274,261,196,133,118
" ","Carna, Galway Division",8,6,7,3,5,7
" ","Carndonagh, Donegal Division",53,60,65,52,40,44
" ","Carnew, Wicklow Division",13,5,9,10,11,7
" ","Carraig Airt, Donegal Division",11,10,13,8,7,1
" ","Carrickbyrne, Wexford Division",12,6,3,12,6,2
" ","Carrickmacross, Cavan/Monaghan Division",93,71,57,49,45,41
" ","Carrick-on-Bannow, Wexford Division",13,16,19,15,5,7
" ","Carrick-On-Shannon, Sligo/Leitrim Division",63,67,52,57,47,47
" ","Carrick-On-Suir, Tipperary Division",58,44,30,36,30,42
" ","Carrigaline, Cork City Division",46,40,44,34,40,34
" ","Carrigallen, Sligo/Leitrim Division",3,2,0,1,2,1
" ","Carrigans, Donegal Division",14,8,10,12,6,3
" ","Carrigtwohill, Cork North Division",13,15,13,24,16,16
" ","Cashel, Tipperary Division",28,33,31,35,21,30
" ","Castlebar, Mayo Division",119,144,117,65,106,105
" ","Castlebellingham, Louth Division",11,13,16,12,11,5
" ","Castleblayney, Cavan/Monaghan Division",92,80,42,38,60,50
" ","Castlebridge, Wexford Division",6,5,11,8,14,6
" ","Castlecomer, Kilkenny/Carlow Division",17,15,13,18,18,15
" ","Castleconnell, Limerick Division",9,10,13,14,13,14
" ","Castledermot, Kildare Division",6,18,12,11,15,9
" ","Castlefin, Donegal Division",14,9,10,14,13,24
" ","Castlegregory, Kerry Division",9,4,3,6,8,5
" ","Castleisland, Kerry Division",20,35,29,32,26,16
" ","Castlemaine, Kerry Division",9,7,3,5,5,0
" ","Castlepollard, Westmeath Division",17,11,5,6,13,6
" ","Castlerea, Roscommon/Longford Division",26,34,28,33,40,40
" ","Castletownbere, Cork West Division",3,8,9,12,20,11
" ","Castletownroche, Cork North Division",4,4,7,8,4,5
" ","Cavan, Cavan/Monaghan Division",148,120,130,117,125,120
