"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Mullinavat, Kilkenny/Carlow Division",7,9,7,3,1,0
" ","Mullingar, Westmeath Division",207,151,113,85,109,83
" ","Multyfarnham, Westmeath Division",4,1,6,7,4,2
" ","Murroe, Limerick Division",5,1,4,2,3,2
" ","Myshall, Kilkenny/Carlow Division",9,7,1,1,5,0
" ","Na Cealla Beaga, Donegal Division",12,10,9,9,8,4
" ","Na Gleannta, Donegal Division",9,11,4,6,2,2
" ","Naas, Kildare Division",184,151,112,100,103,112
" ","Navan, Meath Division",201,183,119,85,57,92
" ","Nenagh, Tipperary Division",110,85,63,49,47,52
" ","New Ross, Wexford Division",66,60,37,45,38,40
" ","Newbridge, Kildare Division",118,71,50,47,30,33
" ","Newcastle West, Limerick Division",57,41,41,41,28,28
" ","Newmarket on Fergus, Clare Division",11,11,7,6,2,5
" ","Newmarket, Cork North Division",18,14,11,2,6,6
" ","Newport, Co Mayo, Mayo Division",9,7,5,8,4,1
" ","Newport, Co Tipperary, Tipperary Division",19,10,12,6,9,7
" ","Newtowncunningham, Donegal Division",17,11,6,4,6,5
" ","Newtownmountkennedy, Wicklow Division",34,14,9,7,7,5
" ","Nobber, Meath Division",5,6,5,10,6,6
" ","Oldcastle, Meath Division",18,12,11,9,3,5
" ","Omeath, Louth Division",0,3,3,4,1,3
" ","Oola, Limerick Division",1,0,2,1,0,0
" ","Oughterard, Galway Division",8,2,4,5,2,3
" ","Oulart, Wexford Division",4,4,8,4,8,2
" ","Oylegate, Wexford Division",11,4,5,8,4,7
" ","Pallasgreen, Limerick Division",6,5,2,7,5,1
" ","Pallaskenry, Limerick Division",7,2,5,5,4,3
" ","Partry, Mayo Division",5,6,5,3,8,3
" ","Passage East, Waterford Division",4,1,2,3,2,1
" ","Passage West, Cork City Division",14,11,4,8,6,4
" ","Patrickswell, Limerick Division",11,4,3,8,5,5
" ","Pearse Street, D.M.R. South Central Division",152,147,110,92,87,49
" ","Pettigo, Donegal Division",1,0,1,0,0,0
" ","Piltown, Kilkenny/Carlow Division",10,4,4,3,4,8
" ","Portarlington, Laois/Offaly Division",33,40,24,29,24,15
" ","Portlaoise, Laois/Offaly Division",168,102,71,67,73,49
" ","Portlaw, Waterford Division",9,9,2,2,4,5
" ","Portmagee, Kerry Division",5,1,0,3,2,3
" ","Portroe, Tipperary Division",5,0,2,1,0,1
" ","Portumna, Galway Division",11,3,1,2,4,3
" ","Raheny, D.M.R. Northern Division",72,50,53,32,37,29
" ","Ramelton, Donegal Division",11,3,6,5,9,2
" ","Raphoe, Donegal Division",8,5,2,6,4,7
" ","Rathangan, Kildare Division",6,7,1,0,1,1
" ","Rathcoole, D.M.R. Western Division",52,38,54,39,34,14
" ","Rathcormac, Co Cork, Cork North Division",21,18,13,11,11,9
" ","Rathdowney, Laois/Offaly Division",13,4,4,6,2,2
" ","Rathdrum, Wicklow Division",18,18,13,5,4,5
" ","Rathfarnham, D.M.R. Southern Division",145,98,74,67,70,67
" ","Rathgormack, Co Waterford, Waterford Division",2,0,2,0,1,1
" ","Rathkeale, Limerick Division",25,18,12,11,11,15
" ","Rathmines, D.M.R. Southern Division",79,54,47,37,30,23
" ","Rathmore, Co Kerry, Cork West Division",22,10,11,9,6,9
" ","Rathmullen, Donegal Division",3,0,4,4,2,0
" ","Rathvilly, Kilkenny/Carlow Division",3,2,1,7,0,2
" ","Rhode, Laois/Offaly Division",3,3,1,3,4,1
" ","Riverstown, Sligo/Leitrim Division",4,7,8,9,3,5
" ","Robertstown, Kildare Division",23,17,13,6,6,6
" ","Rochfortbridge, Westmeath Division",11,7,5,4,5,9
" ","Rockcorry, Cavan/Monaghan Division",3,3,4,2,5,2
" ","Ronanstown, D.M.R. Western Division",133,145,101,79,68,52
" ","Roosky, Roscommon/Longford Division",6,4,6,3,2,1
" ","Ros Muc, Galway Division",0,0,1,1,1,0
" ","Roscommon, Roscommon/Longford Division",59,49,33,30,39,43
" ","Roscrea, Tipperary Division",49,35,27,19,12,8
" ","Rosscarbery, Cork West Division",14,8,4,2,4,5
" ","Rosses Point, Sligo/Leitrim Division",3,2,5,5,2,3
" ","Rosslare Harbour, Wexford Division",11,7,8,4,16,5
" ","Rosslare Strand, Wexford Division",10,9,7,3,3,3
" ","Roundwood, Wicklow Division",9,5,4,5,2,1
" ","Roxboro Road, Limerick Division",224,156,125,92,85,71
" ","Santry, D.M.R. Northern Division",222,163,103,106,73,69
" ","Scariff, Clare Division",16,8,8,4,9,7
" ","Schull, Cork West Division",7,4,5,0,5,2
" ","Scotstown, Cavan/Monaghan Division",12,8,5,11,4,3
" ","Shankill, D.M.R. Eastern Division",51,50,45,35,37,18
" ","Shannon, Clare Division",75,65,39,30,24,27
" ","Shercock, Cavan/Monaghan Division",11,6,0,5,2,2
" ","Shevry, Tipperary Division",3,2,0,2,0,0
" ","Shillelagh, Wicklow Division",1,2,2,3,4,3
" ","Shinrone, Laois/Offaly Division",3,5,3,2,1,0
" ","Shrule, Mayo Division",5,2,6,2,4,1
" ","Sixmilebridge, Clare Division",23,9,6,19,9,4
" ","Skerries, D.M.R. Northern Division",22,24,18,19,11,10
" ","Skibbereen, Cork West Division",22,17,11,6,9,13
" ","Skreen, Sligo/Leitrim Division",1,5,2,0,1,1
" ","Slane, Meath Division",5,11,6,5,2,2
" ","Sligo, Sligo/Leitrim Division",159,135,84,75,64,47
" ","Smear, Roscommon/Longford Division",2,0,0,2,1,1
" ","Sneem, Kerry Division",6,1,3,2,5,2
" ","Sraith Salach, Galway Division",1,4,3,1,1,0
" ","Stoneyford, Kilkenny/Carlow Division",2,3,4,4,2,2
" ","Store Street, D.M.R. North Central Division",227,154,103,76,76,69
" ","Stradbally Co Laois, Laois/Offaly Division",18,7,4,9,9,4
" ","Strokestown, Roscommon/Longford Division",4,7,1,5,4,4
" ","Stuake, Cork West Division",4,4,5,6,6,7
" ","Summerhill, Meath Division",17,10,9,9,7,4
" ","Sundrive Road, D.M.R. Southern Division",113,77,61,39,37,18
" ","Swanlinbar, Cavan/Monaghan Division",1,1,0,3,0,1
" ","Swinford, Mayo Division",16,15,4,8,8,4
" ","Swords, D.M.R. Northern Division",247,188,132,92,81,68
" ","Taghmon, Wexford Division",16,14,10,9,5,5
" ","Tallaght, D.M.R. Southern Division",340,305,258,193,157,134
" ","Tallow, Waterford Division",7,2,3,4,2,3
" ","Tarbert, Kerry Division",4,3,1,5,4,3
" ","Tarelton, Cork West Division",9,3,4,2,2,1
" ","Taughmaconnell, Roscommon/Longford Division",1,2,0,1,1,0
" ","Templederry, Tipperary Division",0,1,1,1,0,0
" ","Templemore, Tipperary Division",23,17,6,14,11,2
" ","Templetuohy, Tipperary Division",1,2,1,1,1,0
" ","Terenure, D.M.R. Southern Division",104,86,51,63,71,52
" ","Thomastown, Kilkenny/Carlow Division",18,10,7,18,9,7
" ","Thurles, Tipperary Division",102,98,74,56,37,47
" ","Timoleague, Cork West Division",11,6,3,5,6,11
" ","Tinahely, Wicklow Division",6,8,5,3,3,2
" ","Tipperary, Tipperary Division",64,38,44,37,40,43
" ","Togher, Cork City Division",70,47,50,32,26,39
" ","Toomevara, Tipperary Division",6,5,1,1,1,0
" ","Tralee, Kerry Division",177,155,166,97,124,115
" ","Tramore, Waterford Division",50,50,27,38,21,19
" ","Trim, Meath Division",72,72,53,19,35,26
" ","Tuam, Galway Division",53,48,44,27,29,31
" ","Tubbercurry, Sligo/Leitrim Division",10,17,9,9,5,2
" ","Tulla, Clare Division",10,8,5,3,2,0
" ","Tullamore, Laois/Offaly Division",122,61,84,74,63,47
" ","Tullow, Kilkenny/Carlow Division",13,33,14,16,19,13
" ","Tulsk, Roscommon/Longford Division",5,3,2,7,4,1
" ","Urlingford, Kilkenny/Carlow Division",16,5,12,3,9,1
" ","Virginia, Cavan/Monaghan Division",42,30,21,22,26,27
" ","Watercourse Road, Cork City Division",175,117,108,109,98,47
" ","Waterford, Waterford Division",250,207,173,125,149,97
" ","Watergrasshill, Cork North Division",6,10,6,7,3,9
" ","Westport, Mayo Division",67,51,42,23,26,24
" ","Wexford, Wexford Division",161,109,79,72,72,32
" ","Whitegate, Cork North Division",5,11,7,2,4,0
" ","Wicklow, Wicklow Division",74,61,35,25,26,31
" ","Williamstown, Galway Division",7,1,3,1,3,1
" ","Woodford, Galway Division",5,3,3,3,1,2
" ","Youghal, Cork North Division",39,26,28,17,25,20
"05 ,Kidnapping and related offences"
" ","Abbeyfeale, Limerick Division",0,1,0,0,0,0
" ","Abbeyleix, Laois/Offaly Division",2,0,0,0,0,0
" ","Adare, Limerick Division",0,0,0,0,0,0
" ","Aglish, Waterford Division",0,0,0,1,0,0
" ","Ahascragh, Galway Division",0,0,0,0,0,0
" ","Ailt an Chorraiin, Donegal Division",0,0,0,0,0,0
" ","An Bun Beag, Donegal Division",0,0,0,0,0,0
" ","An Charraig, Donegal Division",0,0,0,0,0,0
" ","An Cheathru Rua, Galway Division",0,0,0,0,0,0
" ","An Clochain Liath, Donegal Division",0,0,0,0,0,0
" ","An Coirean, Kerry Division",0,0,0,0,0,0
" ","An Craoslach, Donegal Division",0,0,0,0,0,1
" ","An Fail Carrach, Donegal Division",0,0,0,0,0,0
" ","An Maim, Galway Division",0,0,0,0,0,0
" ","An Rinn, Waterford Division",0,0,0,1,0,0
" ","An Spideal, Galway Division",0,0,0,0,0,0
" ","Anglesea Street, Cork City Division",1,1,0,1,1,0
" ","Annascaul, Kerry Division",0,0,0,0,0,0
" ","Aran More, Galway Division",0,0,0,0,0,1
" ","Ard an Raitha, Donegal Division",0,0,0,0,0,0
" ","Ardee, Louth Division",0,1,3,0,0,0
" ","Ardfert, Kerry Division",0,0,0,0,0,0
" ","Ardfinnan, Tipperary Division",0,0,0,0,0,0
" ","Ardmore, Waterford Division",0,0,0,0,0,0
" ","Ardnacrusha, Limerick Division",0,0,0,0,0,0
" ","Ardrahan, Galway Division",0,0,0,0,0,0
" ","Arklow, Wicklow Division",0,1,0,0,0,1
" ","Arles, Laois/Offaly Division",0,0,0,0,0,0
" ","Arva, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Ashbourne, Meath Division",0,1,1,1,0,0
" ","Ashford, Wicklow Division",0,0,0,0,0,0
" ","Askeaton, Limerick Division",0,0,0,0,0,0
" ","Athea, Limerick Division",0,0,0,0,0,0
" ","Athenry, Galway Division",0,0,0,0,0,0
" ","Athleague, Roscommon/Longford Division",0,0,0,0,0,0
" ","Athlone, Westmeath Division",0,1,1,0,0,0
" ","Athy, Kildare Division",0,1,1,3,1,0
" ","Aughrim, Wicklow Division",0,0,0,0,0,0
" ","Avoca, Wicklow Division",0,0,0,0,0,0
" ","Baile AÅtha Bui, Meath Division",1,0,0,0,0,0
" ","Baile an FheirtÈaraigh, Kerry Division",0,0,0,0,0,0
" ","Baile Bhuirne, Cork West Division",0,0,0,0,0,0
" ","Bailieboro, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Balbriggan, D.M.R. Northern Division",0,1,1,0,0,1
" ","Balla, Mayo Division",0,0,0,0,0,0
" ","Ballaghderreen, Roscommon/Longford Division",0,0,0,0,0,0
" ","Ballina, Mayo Division",1,0,0,0,0,0
" ","Ballinagh, Cavan/Monaghan Division",0,0,0,1,0,0
" ","Ballinamore, Sligo/Leitrim Division",0,0,0,0,0,1
" ","Ballinasloe, Galway Division",0,0,0,0,0,0
" ","Ballincollig, Cork City Division",0,0,0,0,0,0
" ","Ballindine, Mayo Division",0,0,0,0,0,0
" ","Ballineen, Cork West Division",0,0,0,0,0,0
" ","Ballingarry North, Tipperary Division",0,0,0,0,0,0
" ","Ballingarry South, Tipperary Division",0,0,0,0,0,0
" ","Ballingarry, Limerick Division",0,0,0,0,0,0
" ","Ballinhassig, Cork West Division",0,0,1,0,0,0
" ","Ballinlough, Roscommon/Longford Division",0,0,0,0,0,0
" ","Ballinrobe, Mayo Division",0,0,1,1,0,0
" ","Ballintra, Donegal Division",0,0,0,0,0,0
" ","Ballivor, Meath Division",0,0,0,0,0,0
" ","Ballon, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Ballybay, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Ballybofey, Donegal Division",1,0,0,2,1,1
" ","Ballybunion, Kerry Division",0,0,0,0,0,0
" ","Ballyconnell, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Ballycotton, Cork North Division",0,0,0,0,0,0
" ","Ballycroy, Mayo Division",0,0,0,0,0,0
" ","Ballycullane, Wexford Division",0,0,0,0,0,0
" ","Ballydehob, Cork West Division",0,0,0,0,0,0
" ","Ballydesmond, Cork West Division",0,0,0,0,0,0
" ","Ballyduff,  Co. Kerry, Kerry Division",0,0,0,0,0,1
" ","Ballyfermot, D.M.R. Western Division",0,0,3,0,3,1
" ","Ballygar, Galway Division",0,0,0,0,0,0
" ","Ballyhale, Kilkenny/Carlow Division",0,0,0,0,1,0
" ","Ballyhaunis, Mayo Division",0,0,0,0,0,0
" ","Ballyheigue, Kerry Division",0,0,0,0,0,0
" ","Ballyjamesduff, Cavan/Monaghan Division",0,0,0,1,0,0
" ","Ballylanders, Limerick Division",0,0,0,0,0,0
" ","Ballylinan, Laois/Offaly Division",0,1,0,0,0,0
" ","Ballymacarberry, Waterford Division",0,0,0,0,0,0
" ","Ballymahon, Roscommon/Longford Division",0,0,0,0,0,1
" ","Ballymore, Westmeath Division",0,0,0,0,0,0
" ","Ballymote, Sligo/Leitrim Division",0,0,0,0,1,0
" ","Ballymun, D.M.R. Northern Division",2,1,0,3,1,1
" ","Ballynacargy, Westmeath Division",0,0,0,0,0,0
" ","Ballyneety, Limerick Division",0,0,0,1,0,0
" ","Ballynoe, Cork North Division",0,0,0,0,0,0
" ","Ballyporeen, Tipperary Division",0,0,1,0,0,0
" ","Ballyshannon, Donegal Division",0,0,0,0,0,0
" ","Ballyvaughan, Clare Division",0,0,0,0,0,0
" ","Baltimore, Cork West Division",0,0,0,0,0,0
" ","Baltinglass, Wicklow Division",0,0,0,0,0,0
" ","Banagher, Laois/Offaly Division",0,0,0,0,0,0
" ","Bandon, Cork West Division",0,1,0,0,0,0
" ","Bangor Erris, Mayo Division",0,0,0,0,0,0
" ","Bansha, Tipperary Division",0,0,0,0,0,0
" ","Bantry, Cork West Division",0,0,0,0,0,0
" ","Barnaderg, Galway Division",0,0,0,0,0,0
" ","Barraduff, Kerry Division",0,0,0,0,0,0
" ","BÈal aÅtha an Ghaorthaidh, Cork West Division",0,0,0,0,0,0
" ","BÈal an Mhuirthead, Mayo Division",0,0,0,0,0,0
" ","Belturbet, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Bennettsbridge, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Birr,  Laois/Offaly Division",0,0,0,0,0,0
" ","Bishopstown, Cork City Division",0,0,0,0,0,0
" ","Blacklion, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Blackrock, Co Cork, Cork City Division",0,0,0,0,0,0
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",0,0,0,0,0,0
" ","Blackrock, Co Louth, Louth Division",0,1,0,0,0,0
" ","Blackwater, Wexford Division",0,0,0,0,0,0
" ","Blanchardstown, D.M.R. Western Division",3,4,3,2,4,4
" ","Blarney, Cork City Division",0,0,0,0,0,0
" ","Blessington, Wicklow Division",0,0,0,1,1,0
" ","Boherbue, Cork West Division",0,0,0,0,0,0
" ","Bonniconlon, Mayo Division",0,0,0,0,0,0
" ","Borris, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Borris-In-Ossory, Laois/Offaly Division",0,0,1,0,0,0
" ","Borrisokane, Tipperary Division",0,0,0,0,0,0
" ","Borrisoleigh, Tipperary Division",0,1,1,0,0,0
" ","Bothar Na Tra, Galway Division",0,1,0,0,1,0
" ","Boyle, Roscommon/Longford Division",0,0,0,0,0,0
" ","Bray, Wicklow Division",0,0,0,0,2,0
" ","Bridewell Cork, Cork City Division",0,0,0,0,0,1
" ","Bridewell Dublin, D.M.R. North Central Division",0,3,0,1,3,0
" ","Bruff, Limerick Division",0,0,0,0,0,0
" ","Bruree, Limerick Division",0,0,0,0,0,0
" ","Bunclody, Wexford Division",0,0,0,0,0,0
" ","Buncrana, Donegal Division",0,2,0,0,0,1
" ","Bundoran, Donegal Division",0,0,0,0,0,0
" ","Burnfoot, Donegal Division",0,0,0,0,0,0
" ","Buttevant, Cork North Division",0,0,0,0,0,0
" ","Cabinteely, D.M.R. Eastern Division",0,2,0,2,0,1
" ","Cabra, D.M.R. Western Division",0,2,0,0,0,0
" ","Caherciveen, Kerry Division",0,0,0,0,0,0
" ","Caherconlish, Limerick Division",0,0,0,0,1,0
" ","Cahir, Tipperary Division",1,0,0,1,1,1
" ","Callan, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Campile, Wexford Division",0,0,0,0,0,0
" ","Cappamore, Limerick Division",0,0,0,0,0,0
" ","Cappawhite, Tipperary Division",0,0,0,0,0,0
" ","Cappoquin, Waterford Division",0,0,0,0,0,0
" ","Carbury, Kildare Division",0,0,0,0,0,0
" ","Carlingford, Louth Division",0,0,0,0,0,0
" ","Carlow, Kilkenny/Carlow Division",1,1,0,1,0,0
" ","Carna, Galway Division",0,0,0,0,0,0
" ","Carndonagh, Donegal Division",0,0,0,0,0,1
" ","Carnew, Wicklow Division",1,0,0,0,0,0
" ","Carraig Airt, Donegal Division",0,0,0,0,0,0
" ","Carrickbyrne, Wexford Division",0,0,0,0,0,0
" ","Carrickmacross, Cavan/Monaghan Division",0,0,0,0,0,1
" ","Carrick-on-Bannow, Wexford Division",0,0,0,0,0,0
" ","Carrick-On-Shannon, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Carrick-On-Suir, Tipperary Division",0,0,1,0,0,0
" ","Carrigaline, Cork City Division",1,0,0,0,0,0
" ","Carrigallen, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Carrigans, Donegal Division",1,0,0,0,0,0
" ","Carrigtwohill, Cork North Division",0,0,0,0,0,0
" ","Cashel, Tipperary Division",0,0,1,0,4,1
" ","Castlebar, Mayo Division",0,2,2,0,0,0
" ","Castlebellingham, Louth Division",0,0,0,0,0,0
" ","Castleblayney, Cavan/Monaghan Division",0,1,0,2,0,1
" ","Castlebridge, Wexford Division",0,0,0,0,0,0
" ","Castlecomer, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Castleconnell, Limerick Division",0,0,1,0,0,0
" ","Castledermot, Kildare Division",0,0,0,0,1,0
" ","Castlefin, Donegal Division",0,1,0,0,0,0
" ","Castlegregory, Kerry Division",0,0,0,0,0,0
" ","Castleisland, Kerry Division",0,0,0,0,0,0
" ","Castlemaine, Kerry Division",0,0,0,0,0,0
" ","Castlepollard, Westmeath Division",0,0,0,0,0,0
" ","Castlerea, Roscommon/Longford Division",0,0,0,1,0,0
" ","Castletownbere, Cork West Division",0,0,0,0,0,0
" ","Castletownroche, Cork North Division",0,0,0,0,0,0
" ","Cavan, Cavan/Monaghan Division",1,0,1,2,0,1
" ","Celbridge, Kildare Division",0,1,0,1,1,0
" ","Charlestown, Mayo Division",0,0,1,0,0,0
" ","Charleville, Cork North Division",0,1,0,1,0,0
" ","Cill Ronain, Galway Division",0,0,0,0,0,1
" ","Clane, Kildare Division",0,1,0,1,1,0
" ","Clara, Laois/Offaly Division",0,0,0,0,0,0
" ","Claremorris, Mayo Division",0,0,3,0,0,0
" ","Clifden, Galway Division",0,0,0,0,0,1
" ","Cloch na Ron, Galway Division",0,0,0,0,0,0
" ","Cloghan, Co. Offaly, Laois/Offaly Division",0,0,0,0,0,0
" ","Clogheen, Co. Tipperary, Tipperary Division",0,0,0,0,0,0
" ","Clogher, Donegal Division",0,0,0,0,0,0
" ","Clogherhead, Louth Division",0,0,0,1,0,0
" ","Clonakilty, Cork West Division",1,0,0,0,0,0
" ","Clonark, Roscommon/Longford Division",0,0,0,0,0,0
" ","Clonaslee, Laois/Offaly Division",0,0,0,0,0,0
" ","Clonbologue, Laois/Offaly Division",0,0,0,0,0,0
" ","Clondalkin, D.M.R. Western Division",2,2,2,2,0,1
" ","Clones, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Clonmany, Donegal Division",0,0,0,0,0,0
" ","Clonmel, Tipperary Division",1,1,1,1,2,0
" ","Clonroche, Wexford Division",0,0,0,0,0,0
" ","Clontarf, D.M.R. Northern Division",0,0,0,0,0,0
" ","Cloughjordan, Tipperary Division",0,0,0,0,0,0
" ","Cloyne, Cork North Division",0,0,0,0,0,0
" ","Coachford, Cork West Division",0,0,0,0,0,0
" ","Cobh, Cork North Division",1,4,0,1,0,1
" ","Collon, Louth Division",0,0,0,0,0,0
" ","Collooney, Sligo/Leitrim Division",1,0,0,0,0,0
" ","Cong, Mayo Division",0,0,0,0,0,0
" ","Convoy, Donegal Division",0,0,1,0,1,0
" ","Coolaney, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Coolock, D.M.R. Northern Division",1,2,3,0,0,2
" ","Cootehill, Cavan/Monaghan Division",0,0,0,1,0,0
" ","Corofin Co. Clare, Clare Division",0,0,0,0,0,0
" ","Corofin Co. Galway, Galway Division",0,0,0,0,0,0
" ","Courtown Harbour, Wexford Division",0,1,0,0,0,0
" ","Craughwell, Galway Division",0,0,0,0,0,0
" ","Creggs, Galway Division",1,0,0,0,0,0
" ","Crookstown, Cork West Division",0,0,1,0,0,0
" ","Croom, Limerick Division",0,0,0,0,0,0
" ","Crosshaven, Cork City Division",0,0,0,0,0,0
" ","Crossmolina, Mayo Division",0,0,0,0,0,0
" ","Crumlin, D.M.R. Southern Division",0,0,0,0,1,0
" ","Crusheen, Clare Division",0,0,0,0,0,0
" ","Daingean, Laois/Offaly Division",0,0,0,0,0,0
" ","Delvin, Westmeath Division",0,0,1,0,0,0
" ","Dingle, Kerry Division",0,0,0,0,0,0
" ","Dolla, Tipperary Division",0,0,0,0,0,0
" ","Donegal Town, Donegal Division",0,0,0,0,0,0
" ","Doneraile, Cork North Division",0,0,0,0,0,0
" ","Donnybrook, D.M.R. South Central Division",0,1,2,1,3,0
" ","Douglas, Cork City Division",1,0,0,0,0,1
" ","Dowra, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Drimoleague, Cork West Division",0,0,0,0,0,0
" ","Drinagh, Cork West Division",0,0,0,0,0,0
" ","Drogheda, Louth Division",3,0,2,2,0,2
" ","Drumad, Louth Division",0,0,0,0,0,0
" ","Drumcollogher, Limerick Division",0,0,0,0,0,0
" ","Drumlish, Roscommon/Longford Division",0,0,0,0,0,0
" ","Drumshambo, Sligo/Leitrim Division",0,0,0,0,0,1
" ","Dublin Airport, D.M.R. Northern Division",3,23,7,8,3,6
" ","Duleek, Meath Division",0,0,0,0,0,0
" ","Dun Fionnachaid, Donegal Division",0,0,0,0,0,0
" ","Dun Laoghaire, D.M.R. Eastern Division",0,1,1,0,0,0
" ","Dunboyne, Meath Division",0,1,0,0,0,0
" ","Duncannon, Wexford Division",0,0,0,0,0,0
" ","Dundalk, Louth Division",0,1,4,3,3,0
" ","Dundrum, D.M.R. Eastern Division",0,1,2,1,2,2
" ","Dungarvan, Waterford Division",1,0,2,1,1,0
" ","Dunlavin, Wicklow Division",0,1,0,0,0,0
" ","Dunleer, Louth Division",0,0,0,0,0,0
" ","Dunmanway, Cork West Division",0,0,0,0,0,0
" ","Dunmore East, Waterford Division",0,0,0,0,0,0
" ","Dunmore, Galway Division",0,0,0,0,0,0
" ","Dunshaughlin, Meath Division",0,0,0,0,0,0
" ","Durrow, Laois/Offaly Division",0,0,0,0,0,0
" ","Durrus, Cork West Division",0,0,0,0,0,0
" ","Edenderry, Laois/Offaly Division",0,0,0,0,0,2
" ","Edgeworthstown, Roscommon/Longford Division",0,0,1,0,1,0
" ","Elphin, Roscommon/Longford Division",0,0,0,0,0,0
" ","Emly, Tipperary Division",0,0,0,0,0,0
" ","Emyvale, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Enfield, Meath Division",1,0,0,0,0,0
" ","Ennis, Clare Division",0,0,1,2,0,1
" ","Enniscorthy, Wexford Division",1,0,0,0,0,0
" ","Enniscrone, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Enniskerry, Wicklow Division",0,0,0,0,0,0
" ","Ennistymon, Clare Division",0,0,0,0,0,0
" ","Eyrecourt, Galway Division",0,0,0,1,0,0
" ","Farranfore, Kerry Division",0,0,0,0,0,0
" ","Ferbane, Laois/Offaly Division",0,0,0,2,0,0
" ","Fermoy, Cork North Division",0,1,1,0,0,0
" ","Ferns, Wexford Division",1,0,0,1,0,0
" ","Ferrybank, Waterford Division",0,0,2,0,0,2
" ","Fethard, Tipperary Division",0,1,0,0,0,0
" ","Finglas, D.M.R. Western Division",2,2,1,2,2,0
" ","Fitzgibbon Street, D.M.R. North Central Division",0,1,2,1,1,3
" ","Foxford, Mayo Division",0,0,0,0,0,0
" ","Foynes, Limerick Division",0,0,0,0,0,2
" ","Frenchpark, Roscommon/Longford Division",0,0,0,0,0,0
" ","Freshford, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Gaillimh, Galway Division",0,1,2,3,1,2
" ","Garristown, D.M.R. Northern Division",0,0,0,0,0,0
" ","Glanmire, Cork City Division",0,0,0,0,0,0
" ","Glantaine, Cork North Division",0,0,0,0,0,0
" ","Glasson, Westmeath Division",0,0,0,0,0,0
" ","Gleann na Muaidhe, Mayo Division",0,0,0,0,0,0
" ","Glenamaddy, Galway Division",0,0,0,0,0,0
" ","Glenbeigh, Kerry Division",0,0,0,0,0,0
" ","Glengarriff, Cork West Division",0,0,0,0,0,0
" ","Glenmore, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Glin, Limerick Division",0,0,0,0,0,0
" ","Glynn, Wexford Division",0,0,0,0,0,0
" ","Gob an Choire, Mayo Division",0,0,0,0,0,0
" ","Golden, Tipperary Division",0,0,0,0,0,0
" ","Goresbridge, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Gorey, Wexford Division",0,1,0,0,2,0
" ","Gort, Galway Division",0,0,0,1,0,0
" ","Graiguenamanagh, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Granard, Roscommon/Longford Division",0,0,0,0,0,0
" ","Grange, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Greystones, Wicklow Division",0,0,1,1,0,1
" ","Gurranabraher, Cork City Division",0,1,2,0,0,1
" ","Gurteen, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Hackballscross, Louth Division",0,0,0,0,0,0
" ","Hacketstown, Kilkenny/Carlow Division",0,0,1,0,0,0
" ","Headford, Galway Division",0,0,0,0,0,0
" ","Henry Street, Limerick Division",2,3,4,2,3,3
" ","Holycross, Tipperary Division",0,0,0,0,0,0
" ","Hospital Co Limerick, Limerick Division",0,0,0,0,0,0
" ","Howth, D.M.R. Northern Division",1,0,0,0,0,0
" ","Indreabhain, Galway Division",0,0,0,0,0,0
" ","Innishannon, Cork West Division",0,0,0,0,0,0
" ","Irishtown, D.M.R. South Central Division",1,1,3,0,3,3
" ","Kanturk, Cork North Division",0,0,0,0,0,0
" ","Keadue, Roscommon/Longford Division",0,0,0,0,0,0
" ","Kealkil, Cork West Division",0,0,0,0,0,0
" ","Keel, Mayo Division",0,0,0,0,0,0
" ","Kells Ceanannus Mor, Meath Division",0,0,2,0,0,0
" ","Kenagh, Roscommon/Longford Division",0,0,0,0,0,0
" ","Kenmare, Kerry Division",0,0,0,0,0,0
" ","Kerrykeel, Donegal Division",0,0,0,0,0,0
" ","Kevin Street, D.M.R. South Central Division",0,2,1,1,0,1
" ","Kilbeggan, Westmeath Division",0,0,0,0,0,0
" ","Kilbrittain, Cork West Division",0,0,0,0,0,0
