"Annual Earnings and Other Labour Costs for All Employees by Industry"
"Sector NACE Rev 2, statistical indicator and Year"

" "," ","2008","2009","2010","2011","2012","2013","2014"
" ","Other Labour Costs (Euro Thousand)",887566,945456,777915,711617,835612,822261,847240
" ","Total Labour Costs (Euro Thousand)",8862861,9278709,8942569,8835013,8938051,8885372,8754804
"Industry (B to E)"
" ","Regular Earnings (Euro Thousand)",8521789,7871733,7582792,7427302,7340971,7585557,7744306
" ","Overtime Earnings (Euro Thousand)",512232,392493,393411,391559,391095,425596,478500
" ","Irregular Earnings (Euro Thousand)",536804,504910,499990,457967,491393,482360,593552
" ","Total Wages and Salaries (Euro Thousand)",9570825,8769136,8476192,8276828,8223458,8493514,8816357
" ","Other Labour Costs (Euro Thousand)",2010960,2060864,1729077,1611485,1854195,1867197,1904825
" ","Total Labour Costs (Euro Thousand)",11581786,10830000,10205269,9888313,10077653,10360711,10721182
"Financial, insurance and real estate activities (K,L)"
" ","Regular Earnings (Euro Thousand)",4367226,4302546,4171680,4145002,4163310,4067838,4109243
" ","Overtime Earnings (Euro Thousand)",67951,48293,45265,54656,63162,58163,57056
" ","Irregular Earnings (Euro Thousand)",694596,347053,358782,337204,298445,334647,476579
" ","Total Wages and Salaries (Euro Thousand)",5129773,4697892,4575727,4536861,4524917,4460647,4642878
" ","Other Labour Costs (Euro Thousand)",1279082,1358389,1124008,1015859,1167800,1168205,1166381
" ","Total Labour Costs (Euro Thousand)",6408855,6056281,5699734,5552720,5692717,5628853,5809259
"Arts, entertainment, recreation and other service activities (R,S)"
" ","Regular Earnings (Euro Thousand)",1298961,1134693,1100838,1088954,1111302,1133287,1045611
" ","Overtime Earnings (Euro Thousand)",33141,25892,25820,23346,18313,15410,15414
" ","Irregular Earnings (Euro Thousand)",41089,33379,36366,25355,35486,40810,37596
" ","Total Wages and Salaries (Euro Thousand)",1373192,1193964,1163024,1137655,1165101,1189507,1098621
" ","Other Labour Costs (Euro Thousand)",196430,179278,142670,151622,164095,182287,170858
" ","Total Labour Costs (Euro Thousand)",1569622,1373242,1305694,1289277,1329196,1371794,1269479

